Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.282865,17.687,212.244,0,0,212.244
58.018,0.280036,17.526,210.312,1.701,0.809,208.611
116.036,0.277208,17.366,208.392,3.368,1.616,205.024
174.054,0.274379,17.205,206.46,5.001,2.422,201.459
232.072,0.27155,17.044,204.528,6.599,3.226,197.929
290.09,0.268722,16.883,202.596,8.163,4.029,194.433
348.108,0.265893,16.723,200.676,9.693,4.83,190.983
406.126,0.263064,16.562,198.744,11.188,5.629,187.556
464.144,0.260236,16.401,196.812,12.649,6.427,184.163
522.162,0.257407,16.24,194.88,14.075,7.222,180.805
580.18,0.254579,16.08,192.96,15.467,8.016,177.493
638.198,0.25175,15.919,191.028,16.825,8.808,174.203
696.216,0.248921,15.758,189.096,18.148,9.597,170.948
754.233,0.246093,15.598,187.176,19.437,10.384,167.739
812.251,0.243264,15.437,185.244,20.692,11.17,164.552
870.269,0.240435,15.276,183.312,21.912,11.953,161.4
928.287,0.237607,15.115,181.38,23.098,12.735,158.282
986.305,0.234778,14.955,179.46,24.249,13.512,155.211
1044.323,0.231949,14.794,177.528,25.366,14.288,152.162
1102.341,0.229121,14.633,175.596,26.449,15.062,149.147
1160.359,0.226292,14.472,173.664,27.497,15.833,146.167
1218.377,0.223463,14.312,171.744,28.511,16.601,143.233
1276.395,0.220635,14.151,169.812,29.491,17.367,140.321
1334.413,0.217806,13.99,167.88,30.436,18.13,137.444
1392.431,0.214977,13.829,165.948,31.347,18.89,134.601
1450.449,0.212149,13.669,164.028,32.223,19.645,131.805
1508.467,0.20932,13.508,162.096,33.066,20.399,129.03
1566.485,0.206491,13.347,160.164,33.873,21.149,126.291
1624.503,0.203663,13.187,158.244,34.647,21.895,123.597
1682.521,0.200834,13.026,156.312,35.386,22.638,120.926
1740.539,0.198006,12.865,154.38,36.09,23.377,118.29
1798.557,0.195177,12.704,152.448,36.761,24.114,115.687
1856.575,0.192348,12.544,150.528,37.396,24.843,113.132
1914.593,0.18952,12.383,148.596,37.998,25.571,110.598
1972.611,0.186691,12.222,146.664,38.565,26.295,108.099
2030.629,0.183862,12.061,144.732,39.098,27.014,105.634
2088.647,0.181034,11.901,142.812,39.596,27.726,103.216
2146.665,0.178205,11.74,140.88,40.06,28.436,100.82
2204.682,0.175376,11.579,138.948,40.49,29.14,98.458
2262.7,0.172548,11.419,137.028,40.885,29.837,96.143
2320.718,0.169719,11.258,135.096,41.246,30.531,93.85
2378.736,0.16689,11.097,133.164,41.572,31.219,91.592
2436.754,0.164062,10.936,131.232,41.865,31.902,89.367
2494.772,0.161233,10.776,129.312,42.122,32.574,87.19
2552.79,0.158404,10.615,127.38,42.346,33.244,85.034
2610.808,0.155576,10.454,125.448,42.535,33.906,82.913
2668.826,0.152747,10.293,123.516,42.69,34.562,80.826
2726.844,0.149918,10.133,121.596,42.81,35.207,78.786
2784.862,0.14709,9.972,119.664,42.896,35.847,76.768
2842.88,0.144261,9.811,117.732,42.947,36.479,74.785
2900.898,0.141433,9.651,115.812,42.965,37.099,72.847
2958.916,0.138604,9.49,113.88,42.947,37.713,70.933
3016.934,0.135775,9.329,111.948,42.896,38.318,69.052
3074.952,0.132947,9.168,110.016,42.81,38.913,67.206
3132.97,0.130118,9.008,108.096,42.69,39.493,65.406
3190.988,0.127289,8.847,106.164,42.535,40.065,63.629
3249.006,0.124461,8.686,104.232,42.346,40.627,61.886
3307.024,0.121632,8.525,102.3,42.122,41.175,60.178
3365.042,0.118803,8.365,100.38,41.865,41.707,58.515
3423.06,0.115975,8.204,98.448,41.573,42.228,56.875
3481.078,0.113146,8.043,96.516,41.246,42.735,55.27
3539.096,0.110317,7.882,94.584,40.885,43.226,53.699
3597.114,0.107489,7.722,92.664,40.49,43.696,52.174
3655.131,0.10466,7.561,90.732,40.06,44.152,50.672
3713.149,0.101831,7.4,88.8,39.596,44.59,49.204
3771.167,0.099003,7.24,86.88,39.098,45.002,47.782
3829.185,0.096174,7.079,84.948,38.565,45.398,46.383
3887.203,0.093345,6.918,83.016,37.998,45.772,45.018
3945.221,0.090517,6.757,81.084,37.396,46.12,43.688
4003.239,0.087688,6.597,79.164,36.76,46.435,42.404
4061.257,0.08486,6.436,77.232,36.09,46.729,41.142
4119.275,0.082031,6.275,75.3,35.386,46.993,39.914
4177.293,0.079202,6.114,73.368,34.647,47.224,38.721
4235.311,0.076374,5.954,71.448,33.873,47.409,37.575
4293.329,0.073545,5.793,69.516,33.066,47.566,36.45
4351.347,0.070716,5.632,67.584,32.223,47.678,35.361
4409.365,0.067888,5.472,65.664,31.347,47.738,34.317
4467.383,0.065059,5.311,63.732,30.436,47.756,33.296
4525.401,0.06223,5.15,61.8,29.491,47.72,32.309
4583.419,0.059402,4.989,59.868,28.511,47.623,31.357
4641.437,0.056573,4.829,57.948,27.497,47.451,30.451
4699.455,0.053744,4.668,56.016,26.449,47.217,29.567
4757.473,0.050916,4.507,54.084,25.366,46.901,28.718
4815.491,0.048087,4.346,52.152,24.249,46.497,27.903
4873.509,0.045258,4.186,50.232,23.098,45.983,27.134
4931.527,0.04243,4.025,48.3,21.912,45.366,26.388
4989.545,0.039601,3.864,46.368,20.692,44.626,25.676
5047.563,0.036772,3.703,44.436,19.437,43.742,24.999
5105.58,0.033944,3.543,42.516,18.148,42.685,24.368
5163.598,0.031115,3.382,40.584,16.825,41.457,23.759
5221.616,0.028287,3.221,38.652,15.468,40.019,23.184
5279.634,0.025458,3.061,36.732,14.075,38.318,22.657
5337.652,0.022629,2.9,34.8,12.649,36.348,22.151
5395.67,0.019801,2.739,32.868,11.188,34.039,21.68
5453.688,0.016972,2.578,30.936,9.693,31.332,21.243
5511.706,0.014143,2.418,29.016,8.163,28.133,20.853
5569.724,0.011315,2.257,27.084,6.6,24.369,20.484
5627.742,0.008486,2.096,25.152,5.001,19.883,20.151
5685.76,0.005657,1.935,23.22,3.368,14.505,19.852
5743.778,0.002829,1.775,21.3,1.702,7.991,19.598
5801.796,0,1.614,19.368,0,0,19.368
