Time (s),Current (A),Voltage (V),Torque 2V (N · m)
0.001,50.72,10.001,0.425
0.381,52.12,10.001,0.41
0.793,49.68,10.001,0.401
1.195,48.39,10.001,0.39
1.605,46.8,10.001,0.382
1.957,45.55,10.001,0.374
2.306,44.5,10.001,0.367
2.654,43.62,10.001,0.361
3.03,42.71,10.001,0.355
3.38,41.81,10.001,0.348
3.73,41.05,10.001,0.343
4.079,40.35,10.001,0.338
4.428,39.73,10.001,0.333
4.777,39.09,10.001,0.329
5.153,38.57,10.001,0.325
5.503,37.98,10.001,0.321
5.851,37.48,10.001,0.317
6.201,37.05,10.001,0.314
6.55,36.65,10.001,0.311
6.9,36.23,10.001,0.307
7.277,35.83,10.001,0.304
7.625,35.48,10.001,0.302
7.974,35.17,10.001,0.299
8.323,34.83,10.001,0.297
8.672,34.53,10.001,0.294
9.049,34.21,10.001,0.292
9.397,33.9,10.001,0.289
9.747,33.6,10.001,0.287
10.096,33.38,10.001,0.285
10.444,33.15,10.001,0.283
10.819,32.91,10.001,0.282
11.17,32.73,10.001,0.28
11.518,32.49,10.001,0.278
11.869,32.24,10.001,0.276
12.216,32.03,10.001,0.274
12.593,31.83,10.001,0.272
12.941,31.65,10.001,0.271
13.291,31.48,10.001,0.269
13.64,31.29,10.001,0.268
13.989,31.15,10.001,0.267
14.365,30.99,10.001,0.265
14.714,30.81,10.001,0.264
15.063,30.65,10.001,0.262
15.413,30.49,10.001,0.261
15.761,30.36,10.001,0.26
16.138,30.19,10.001,0.259
16.487,30.08,10.001,0.258
16.837,29.97,10.001,0.257
17.185,29.88,10.001,0.256
17.535,29.78,10.001,0.255
17.911,29.67,10.001,0.254
18.26,29.53,10.001,0.253
18.61,29.39,10.001,0.252
18.957,29.28,10.001,0.251
19.307,29.17,10.001,0.25
19.656,29.07,10.001,0.249
20.032,28.98,10.001,0.248
20.381,28.9,10.001,0.247
20.73,28.8,10.001,0.247
21.078,28.71,10.001,0.246
21.454,28.62,10.001,0.245
21.803,28.53,10.001,0.244
22.153,28.43,10.001,0.243
22.502,28.36,10.001,0.243
22.853,28.28,10.001,0.242
23.2,28.18,10.001,0.241
23.576,28.1,10.001,0.24
23.925,28,10.001,0.24
24.276,27.93,10.001,0.239
24.625,27.85,10.001,0.238
24.973,27.76,10.001,0.237
25.323,27.68,10.001,0.237
25.684,27.61,10.001,0.236
26.038,27.57,10.001,0.236
26.398,27.5,10.001,0.235
26.746,27.44,10.001,0.234
27.097,27.39,10.001,0.234
27.473,27.32,10.001,0.234
27.822,27.26,10.001,0.233
28.172,27.19,10.001,0.233
28.521,27.13,10.001,0.232
28.869,27.07,10.001,0.231
29.244,26.98,10.001,0.231
29.595,26.93,10.001,0.23
29.943,26.87,10.001,0.23
30.292,26.81,10.001,0.229
30.641,26.75,10.001,0.229
31.016,26.69,10.001,0.228
31.366,26.66,10.001,0.228
31.715,26.62,10.001,0.227
32.064,26.56,10.001,0.227
32.413,26.48,10.001,0.226
32.789,26.41,10.001,0.226
33.138,26.36,10.001,0.225
33.487,26.3,10.001,0.225
33.837,26.24,10.001,0.224
34.185,26.2,10.001,0.224
34.563,26.15,10.001,0.224
34.909,26.12,10.001,0.223
35.261,26.05,10.001,0.223
35.608,26,10.001,0.222
35.959,25.93,10.001,0.222
36.307,25.9,10.001,0.221
36.685,25.85,10.001,0.221
37.033,25.8,10.001,0.22
37.383,25.76,10.001,0.22
37.731,25.7,10.001,0.219
38.081,29.74,10.001,0.221
38.44,31.1,10.001,0.22
38.795,31.51,10.001,0.218
39.155,31.31,10.001,0.211
39.503,35.83,10.001,0.209
39.854,35.52,10.001,0.204
40.202,44.16,10.001,0.06
40.578,100.08,4.98,0.041
